subject timepoint strain species_id relative_abundance strainFreq strainRelativeAbundance
XBA 534 strainUnknown Bacteroides_uniformis_57318 0.164471915842 0 0
XBA 541 strain1 Bacteroides_uniformis_57318 0.115974200661 1 0.115974200661
XBA 541 strain2 Bacteroides_uniformis_57318 0.115974200661 0 0
XBA 541 strainUnknown Bacteroides_uniformis_57318 0.115974200661 0 0
XBA 550 strain1 Bacteroides_uniformis_57318 0.161012496417 1 0.161012496417
XBA 550 strain2 Bacteroides_uniformis_57318 0.161012496417 0 0
XBA 550 strainUnknown Bacteroides_uniformis_57318 0.161012496417 0 0
XBA 557 strain1 Bacteroides_uniformis_57318 0.119655002074 1 0.119655002074
XBA 557 strain2 Bacteroides_uniformis_57318 0.119655002074 0 0
XBA 557 strainUnknown Bacteroides_uniformis_57318 0.119655002074 0 0
XBA 568 strain1 Bacteroides_uniformis_57318 0.152746145062 1 0.152746145062
XBA 568 strain2 Bacteroides_uniformis_57318 0.152746145062 0 0
XBA 568 strainUnknown Bacteroides_uniformis_57318 0.152746145062 0 0
XBA 577 strain1 Bacteroides_uniformis_57318 0.149670207429 1 0.149670207429
XBA 577 strain2 Bacteroides_uniformis_57318 0.149670207429 0 0
XBA 577 strainUnknown Bacteroides_uniformis_57318 0.149670207429 0 0
XBA 582 strain1 Bacteroides_uniformis_57318 0.197910839533 1 0.197910839533
XBA 582 strain2 Bacteroides_uniformis_57318 0.197910839533 0 0
XBA 582 strainUnknown Bacteroides_uniformis_57318 0.197910839533 0 0
XBA 589 strain1 Bacteroides_uniformis_57318 0.161425475915 1 0.161425475915
XBA 589 strain2 Bacteroides_uniformis_57318 0.161425475915 0 0
XBA 589 strainUnknown Bacteroides_uniformis_57318 0.161425475915 0 0
XBA 597 strain1 Bacteroides_uniformis_57318 0.161625094485 1 0.161625094485
XBA 597 strain2 Bacteroides_uniformis_57318 0.161625094485 0 0
XBA 597 strainUnknown Bacteroides_uniformis_57318 0.161625094485 0 0
XBA 610 strain1 Bacteroides_uniformis_57318 0.0986650423052 1 0.0986650423052
XBA 610 strain2 Bacteroides_uniformis_57318 0.0986650423052 0 0
XBA 610 strainUnknown Bacteroides_uniformis_57318 0.0986650423052 0 0
XBA 617 strain1 Bacteroides_uniformis_57318 0.145386721462 1 0.145386721462
XBA 617 strain2 Bacteroides_uniformis_57318 0.145386721462 0 0
XBA 617 strainUnknown Bacteroides_uniformis_57318 0.145386721462 0 0
XBA 625 strain1 Bacteroides_uniformis_57318 0.242132646862 1 0.242132646862
XBA 625 strain2 Bacteroides_uniformis_57318 0.242132646862 0 0
XBA 625 strainUnknown Bacteroides_uniformis_57318 0.242132646862 0 0
XBA 641 strain1 Bacteroides_uniformis_57318 0.120735545904 1 0.120735545904
XBA 641 strain2 Bacteroides_uniformis_57318 0.120735545904 0 0
XBA 641 strainUnknown Bacteroides_uniformis_57318 0.120735545904 0 0
XBA 650 strain1 Bacteroides_uniformis_57318 0.290300947868 1 0.290300947868
XBA 650 strain2 Bacteroides_uniformis_57318 0.290300947868 0 0
XBA 650 strainUnknown Bacteroides_uniformis_57318 0.290300947868 0 0
XBA 653 strain1 Bacteroides_uniformis_57318 0.253567655722 1 0.253567655722
XBA 653 strain2 Bacteroides_uniformis_57318 0.253567655722 0 0
XBA 653 strainUnknown Bacteroides_uniformis_57318 0.253567655722 0 0
XBA 677 strain1 Bacteroides_uniformis_57318 0.120105571568 1 0.120105571568
XBA 677 strain2 Bacteroides_uniformis_57318 0.120105571568 0 0
XBA 677 strainUnknown Bacteroides_uniformis_57318 0.120105571568 0 0
XBA 698 strain1 Bacteroides_uniformis_57318 0.0217764448262 1 0.0217764448262
XBA 698 strain2 Bacteroides_uniformis_57318 0.0217764448262 0 0
XBA 698 strainUnknown Bacteroides_uniformis_57318 0.0217764448262 0 0
XBA 705 strain1 Bacteroides_uniformis_57318 0.0787189953937 1 0.0787189953937
XBA 705 strain2 Bacteroides_uniformis_57318 0.0787189953937 0 0
XBA 705 strainUnknown Bacteroides_uniformis_57318 0.0787189953937 0 0
XBA 706 strain1 Bacteroides_uniformis_57318 0.104784927052 1 0.104784927052
XBA 706 strain2 Bacteroides_uniformis_57318 0.104784927052 0 0
XBA 706 strainUnknown Bacteroides_uniformis_57318 0.104784927052 0 0
XBA 707 strain1 Bacteroides_uniformis_57318 0.183454240903 1 0.183454240903
XBA 707 strain2 Bacteroides_uniformis_57318 0.183454240903 0 0
XBA 707 strainUnknown Bacteroides_uniformis_57318 0.183454240903 0 0
XBA 709 strain1 Bacteroides_uniformis_57318 0.111264817251 1 0.111264817251
XBA 709 strain2 Bacteroides_uniformis_57318 0.111264817251 0 0
XBA 709 strainUnknown Bacteroides_uniformis_57318 0.111264817251 0 0
XBA 710 strain1 Bacteroides_uniformis_57318 0.156888127129 1 0.156888127129
XBA 710 strain2 Bacteroides_uniformis_57318 0.156888127129 0 0
XBA 710 strainUnknown Bacteroides_uniformis_57318 0.156888127129 0 0
XBA 712 strain1 Bacteroides_uniformis_57318 0.157894977701 1 0.157894977701
XBA 712 strain2 Bacteroides_uniformis_57318 0.157894977701 0 0
XBA 712 strainUnknown Bacteroides_uniformis_57318 0.157894977701 0 0
XBA 713 strain1 Bacteroides_uniformis_57318 0.197748242384 1 0.197748242384
XBA 713 strain2 Bacteroides_uniformis_57318 0.197748242384 0 0
XBA 713 strainUnknown Bacteroides_uniformis_57318 0.197748242384 0 0
