sample annotationSample annotation numSpecies totRelAbundance
XQA-064 XQA-001 speciesNotShared 198 0.0127833669093917
XQA-064 XQA-001 strainsShared 48 0.933607822602032
XQA-064 XQA-001 strainsUnknown 17 0.053608810488339
XQB-001 XQB-064 speciesNotShared 80 0.0151621680564208
XQB-001 XQB-064 strainsShared 32 0.90319417739892
XQB-001 XQB-064 strainsUnknown 15 0.081643654544602
XQB-064 XQB-001 speciesNotShared 109 0.0104612635145574
XQB-064 XQB-001 strainsShared 32 0.92450113156673
XQB-064 XQB-001 strainsUnknown 16 0.065037604918537
XRA-001 XRA-064 speciesNotShared 75 0.022759559564575
XRA-001 XRA-064 strainsNotShared 1 0.106468743658
XRA-001 XRA-064 strainsShared 22 0.80563582780644
XRA-001 XRA-064 strainsUnknown 18 0.0651358689710737
XRA-064 XRA-001 speciesNotShared 63 0.0192042740528888
XRA-064 XRA-001 strainsNotShared 1 0.0898786862985
XRA-064 XRA-001 strainsShared 22 0.82441492597489
XRA-064 XRA-001 strainsUnknown 19 0.0665021136737775
XRB-002 XRB-059 speciesNotShared 62 0.0129698941504766
XRB-002 XRB-059 strainsNotShared 1 0.00436614794224
XRB-002 XRB-059 strainsShared 18 0.7728156410178
XRB-002 XRB-059 strainsUnknown 28 0.209848316889634
XRB-059 XRB-002 speciesNotShared 104 0.0437577766987504
XRB-059 XRB-002 strainsNotShared 1 0.00339098263803
XRB-059 XRB-002 strainsShared 18 0.75639195459611
XRB-059 XRB-002 strainsUnknown 19 0.196459286067113
XSA-001 XSA-064 speciesNotShared 87 0.0346046989280736
XSA-001 XSA-064 strainsShared 14 0.894721020822722
XSA-001 XSA-064 strainsUnknown 11 0.070674280248907
XSA-064 XSA-001 speciesNotShared 84 0.0158634880892333
XSA-064 XSA-001 strainsShared 14 0.9185199029858
XSA-064 XSA-001 strainsUnknown 7 0.06561660892499
XSB-001 XSB-064 speciesNotShared 132 0.0402914334576641
XSB-001 XSB-064 strainsShared 17 0.8807960405131
XSB-001 XSB-064 strainsUnknown 24 0.0789125260293028
XSB-064 XSB-001 speciesNotShared 84 0.0178220914102889
XSB-064 XSB-001 strainsShared 17 0.89547573007896
XSB-064 XSB-001 strainsUnknown 25 0.086702178510657
XTA-001 XTA-064 speciesNotShared 102 0.534925154080452
XTA-001 XTA-064 strainsNotShared 3 0.02705110459041
XTA-001 XTA-064 strainsShared 17 0.32090927558158
XTA-001 XTA-064 strainsUnknown 32 0.117114465747629
XTA-064 XTA-001 speciesNotShared 107 0.0632157016373845
XTA-064 XTA-001 strainsNotShared 3 0.07127880515477
XTA-064 XTA-001 strainsShared 17 0.68842768976882
XTA-064 XTA-001 strainsUnknown 26 0.17707780343912
XTB-001 XTB-065 speciesNotShared 82 0.0256801726683357
XTB-001 XTB-065 strainsShared 25 0.77763130032987
XTB-001 XTB-065 strainsUnknown 49 0.196688527001606
XTB-065 XTB-001 speciesNotShared 79 0.0412555347000893
XTB-065 XTB-001 strainsShared 25 0.72398252879139
XTB-065 XTB-001 strainsUnknown 46 0.234761936507982
XUA-001 XUA-064 speciesNotShared 93 0.126785688783067
XUA-001 XUA-064 strainsShared 29 0.82270505021408
XUA-001 XUA-064 strainsUnknown 23 0.050509261003256
XUA-064 XUA-001 speciesNotShared 103 0.0425903474565337
XUA-064 XUA-001 strainsShared 29 0.89641367469556
XUA-064 XUA-001 strainsUnknown 20 0.060995977847724
XUB-001 XUB-064 speciesNotShared 81 0.0271597160130479
XUB-001 XUB-064 strainsShared 30 0.91460677704776
XUB-001 XUB-064 strainsUnknown 23 0.0582335069389269
XUB-064 XUB-001 speciesNotShared 120 0.0420203563978377
