sample annotationSample annotation numSpecies totRelAbundance
XAC-029 XAC-036 strainsUnknown 36 0.944512796473408
XAC-029 XAC-064 speciesNotShared 107 0.059199476764515
XAC-029 XAC-064 strainsUnknown 30 0.9408005232361
XAC-029 XAC-224 speciesNotShared 94 0.020251134947321
XAC-029 XAC-224 strainsUnknown 43 0.979748865053294
XAC-029 XAD-003 speciesNotShared 116 0.736938500537403
XAC-029 XAD-003 strainsNotShared 7 0.20859965697514
XAC-029 XAD-003 strainsUnknown 14 0.0544618424880718
XAC-029 XAD-029 speciesNotShared 112 0.491661452383786
XAC-029 XAD-029 strainsNotShared 6 0.38370602358638
XAC-029 XAD-029 strainsUnknown 19 0.124632524030449
XAC-029 XAD-036 speciesNotShared 113 0.731187589849166
XAC-029 XAD-036 strainsNotShared 6 0.18913041017074
XAC-029 XAD-036 strainsUnknown 18 0.0796819999807088
XAC-029 XAD-063 speciesNotShared 112 0.726441843983434
XAC-029 XAD-063 strainsNotShared 7 0.1830933480742
XAC-029 XAD-063 strainsUnknown 18 0.090464807942981
XAC-029 XAD-225 speciesNotShared 111 0.485004698702166
XAC-029 XAD-225 strainsNotShared 7 0.20859965697514
XAC-029 XAD-225 strainsUnknown 19 0.306395644323309
XAC-036 XAA-002 speciesNotShared 76 0.28261453959581
XAC-036 XAA-002 strainsNotShared 7 0.46184141680684
XAC-036 XAA-002 strainsShared 1 0.00653311056648
XAC-036 XAA-002 strainsUnknown 13 0.249010933030302
XAC-036 XAA-029 speciesNotShared 67 0.21568243669498
XAC-036 XAA-029 strainsNotShared 3 0.4066249398548
XAC-036 XAA-029 strainsUnknown 27 0.377692623449651
XAC-036 XAA-036 speciesNotShared 86 0.925290926472527
XAC-036 XAA-036 strainsUnknown 11 0.0747090735269046
XAC-036 XAA-064 speciesNotShared 80 0.562460580253325
XAC-036 XAA-064 strainsNotShared 1 0.294831458522
XAC-036 XAA-064 strainsUnknown 16 0.142707961224107
XAC-036 XAA-652 speciesNotShared 71 0.421979600030549
XAC-036 XAA-652 strainsNotShared 6 0.41685269109649
XAC-036 XAA-652 strainsShared 1 0.00575769628771
