subject	timepoint	sample
XGC	31	XGC-031
XGC	32	XGC-032
XGC	33	XGC-033
XGC	34	XGC-034
XGC	35	XGC-035
XGC	37	XGC-037
XGC	38	XGC-038
XGC	39	XGC-039
XGC	40	XGC-040
XGC	44	XGC-044
XGC	50	XGC-050
XGC	57	XGC-057
XGC	64	XGC-064
XGC	252	XGC-252
XGC	364	XGC-364
XGC	428	XGC-428
XHA	3	XHA-003
XHA	8	XHA-008
XHA	18	XHA-018
XHA	22	XHA-022
XHA	28	XHA-028
XHA	29	XHA-029
XHA	30	XHA-030
XHA	31	XHA-031
XHA	34	XHA-034
XHA	36	XHA-036
XHA	38	XHA-038
XHA	39	XHA-039
XHA	40	XHA-040
XHA	43	XHA-043
XHA	50	XHA-050
XHA	57	XHA-057
XHA	64	XHA-064
XHA	262	XHA-262
XHA	321	XHA-321
XHA	410	XHA-410
XHA	507	XHA-507
XHB	1	XHB-001
XHB	8	XHB-008
XHB	15	XHB-015
XHB	22	XHB-022
XHB	23	XHB-023
XHB	24	XHB-024
XHB	25	XHB-025
XHB	26	XHB-026
XHB	27	XHB-027
XHB	28	XHB-028
XHB	29	XHB-029
XHB	30	XHB-030
XHB	31	XHB-031
XHB	32	XHB-032
XHB	33	XHB-033
XHB	34	XHB-034
XHB	35	XHB-035
XHB	36	XHB-036
XHB	37	XHB-037
XHB	38	XHB-038
XHB	39	XHB-039
XHB	40	XHB-040
XHB	43	XHB-043
XHB	50	XHB-050
XHB	57	XHB-057
XHB	64	XHB-064
XHB	262	XHB-262
XHB	324	XHB-324
XHB	412	XHB-412
XHB	505	XHB-505
XHC	1	XHC-001
XHC	8	XHC-008
XHC	15	XHC-015
XHC	22	XHC-022
XHC	23	XHC-023
XHC	24	XHC-024
XHC	25	XHC-025
XHC	26	XHC-026
XHC	27	XHC-027
XHC	28	XHC-028
XHC	29	XHC-029
XHC	30	XHC-030
XHC	31	XHC-031
XHC	32	XHC-032
XHC	33	XHC-033
XHC	34	XHC-034
XHC	35	XHC-035
XHC	36	XHC-036
XHC	37	XHC-037
XHC	38	XHC-038
XHC	39	XHC-039
XHC	40	XHC-040
XHC	44	XHC-044
XHC	50	XHC-050
XHC	57	XHC-057
XHC	64	XHC-064
XHC	262	XHC-262
XHC	323	XHC-323
XHC	412	XHC-412
XHC	505	XHC-505
XIA	2	XIA-002
XIA	8	XIA-008
XIA	15	XIA-015
XIA	22	XIA-022
XIA	23	XIA-023
XIA	24	XIA-024
XIA	25	XIA-025
XIA	26	XIA-026
XIA	27	XIA-027
XIA	28	XIA-028
XIA	29	XIA-029
XIA	30	XIA-030
XIA	31	XIA-031
XIA	32	XIA-032
XIA	33	XIA-033
XIA	34	XIA-034
XIA	35	XIA-035
XIA	36	XIA-036
XIA	37	XIA-037
XIA	38	XIA-038
XIA	39	XIA-039
XIA	40	XIA-040
XIA	45	XIA-045
XIA	50	XIA-050
XIA	57	XIA-057
XIA	64	XIA-064
XIA	199	XIA-199
XIA	259	XIA-259
XIA	277	XIA-277
XIB	2	XIB-002
XIB	8	XIB-008
XIB	15	XIB-015
XIB	22	XIB-022
XIB	23	XIB-023
XIB	24	XIB-024
XIB	25	XIB-025
XIB	26	XIB-026
XIB	27	XIB-027
XIB	28	XIB-028
XIB	29	XIB-029
