sample annotationSample annotation numSpecies totRelAbundance
XAA-002 XUB-001 strainsUnknown 19 0.153729711208413
XAA-002 XVA-001 speciesNotShared 69 0.390252049384081
XAA-002 XVA-001 strainsNotShared 8 0.44804816594685
XAA-002 XVA-001 strainsUnknown 22 0.161699784669694
XAA-002 XVB-001 speciesNotShared 68 0.0894281390499763
XAA-002 XVB-001 strainsNotShared 11 0.68807228012067
XAA-002 XVB-001 strainsUnknown 20 0.222499580829978
XAC-002 XAA-002 speciesNotShared 89 0.413281326621941
XAC-002 XAA-002 strainsNotShared 8 0.38093965685032
XAC-002 XAA-002 strainsShared 1 0.0132441220888
XAC-002 XAA-002 strainsUnknown 17 0.192534894439249
XAC-002 XAC-002 speciesNotShared 73 0.0109684790978798
XAC-002 XAC-002 strainsUnknown 42 0.98903152090243
XAC-002 XAD-003 speciesNotShared 94 0.681083367492239
XAC-002 XAD-003 strainsNotShared 4 0.21491347279677
XAC-002 XAD-003 strainsUnknown 17 0.104003159711301
XAC-002 XBA-001 speciesNotShared 87 0.351645326470021
XAC-002 XBA-001 strainsNotShared 11 0.58542493927389
XAC-002 XBA-001 strainsUnknown 17 0.0629297342563988
XAC-002 XBB-001 speciesNotShared 82 0.349785159796443
XAC-002 XBB-001 strainsNotShared 9 0.57176352621498
XAC-002 XBB-001 strainsUnknown 24 0.0784513139888872
XAC-002 XCA-001 speciesNotShared 75 0.308185131737199
XAC-002 XCA-001 strainsNotShared 15 0.61762912496935
XAC-002 XCA-001 strainsShared 1 0.00349023173906
XAC-002 XCA-001 strainsUnknown 24 0.0706955115547006
XAC-002 XCB-001 speciesNotShared 83 0.414897083282985
XAC-002 XCB-001 strainsNotShared 7 0.44438489015743
XAC-002 XCB-001 strainsUnknown 25 0.140718026559895
XAC-002 XDA-001 speciesNotShared 80 0.214072078471832
XAC-002 XDA-001 strainsNotShared 12 0.6153022146697
XAC-002 XDA-001 strainsUnknown 23 0.170625706858778
XAC-002 XDB-001 speciesNotShared 83 0.262641367083679
XAC-002 XDB-001 strainsNotShared 10 0.6276045342735
XAC-002 XDB-001 strainsUnknown 22 0.109754098643131
XAC-002 XEA-001 speciesNotShared 78 0.309539697635008
XAC-002 XEA-001 strainsNotShared 9 0.51047425115572
XAC-002 XEA-001 strainsUnknown 28 0.179986051209581
XAC-002 XEB-001 speciesNotShared 81 0.22193824536636
XAC-002 XEB-001 strainsNotShared 15 0.70371734642508
XAC-002 XEB-001 strainsUnknown 19 0.0743444082088697
XAC-002 XFA-001 speciesNotShared 71 0.197381589544872
XAC-002 XFA-001 strainsNotShared 14 0.63765660066523
XAC-002 XFA-001 strainsUnknown 30 0.164961809790207
XAC-002 XFB-001 speciesNotShared 71 0.273438785816358
XAC-002 XFB-001 strainsNotShared 13 0.47936172229817
XAC-002 XFB-001 strainsShared 1 0.00597808503
XAC-002 XFB-001 strainsUnknown 30 0.241221406855782
XAC-002 XGA-001 speciesNotShared 79 0.213024245526018
XAC-002 XGA-001 strainsNotShared 11 0.64056768576545
XAC-002 XGA-001 strainsUnknown 25 0.146408068708842
XAC-002 XGB-001 speciesNotShared 94 0.371912894415806
XAC-002 XGB-001 strainsNotShared 6 0.46857397913177
XAC-002 XGB-001 strainsUnknown 15 0.159513126452734
XAC-002 XGC-001 speciesNotShared 75 0.205833523341535
XAC-002 XGC-001 strainsNotShared 15 0.69905364000411
XAC-002 XGC-001 strainsUnknown 25 0.0951128366546651
XAC-002 XHA-003 speciesNotShared 85 0.281585308936167
XAC-002 XHA-003 strainsNotShared 9 0.40277114091708
XAC-002 XHA-003 strainsUnknown 21 0.315643550147063
XAC-002 XHB-001 speciesNotShared 82 0.308520318592421
XAC-002 XHB-001 strainsNotShared 6 0.48226538519196
XAC-002 XHB-001 strainsUnknown 27 0.209214296215928
XAC-002 XHC-001 speciesNotShared 78 0.210586699938922
XAC-002 XHC-001 strainsNotShared 15 0.63446332855395
XAC-002 XHC-001 strainsUnknown 22 0.154949971507438
XAC-002 XIA-002 speciesNotShared 75 0.206621509780428
XAC-002 XIA-002 strainsNotShared 10 0.51173015654708
XAC-002 XIA-002 strainsUnknown 30 0.281648333672802
XAC-002 XIB-002 speciesNotShared 82 0.358151712962459
XAC-002 XIB-002 strainsNotShared 6 0.30599811432996
XAC-002 XIB-002 strainsUnknown 27 0.335850172707891
