species_id sample subjectSharedTimepointInitial subjectSharedTimepointFinal subjectSharedTimepointLastSequenced strainTurnover timeOfStrainTurnover
Bacteroides_faecis_58503 XBA-821 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-828 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-835 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-849 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-871 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-897 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-898 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-901 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XBA-907 TRUE NA NA FALSE NA
Bacteroides_finegoldii_57739 XBA-008 TRUE NA NA FALSE NA
Bacteroides_finegoldii_57739 XBA-024 TRUE NA NA FALSE NA
Bacteroides_finegoldii_57739 XBA-029 TRUE NA NA FALSE NA
Bacteroides_finegoldii_57739 XBA-030 TRUE NA NA FALSE NA
Bacteroides_finegoldii_57739 XBA-044 TRUE NA NA FALSE NA
