sample subject timepoint hh
XFA-038 XFA 38 XF
XFA-039 XFA 39 XF
XFA-040 XFA 40 XF
XFA-044 XFA 44 XF
XFA-050 XFA 50 XF
XFA-057 XFA 57 XF
XGA-008 XGA 8 XG
XGA-015 XGA 15 XG
XGA-022 XGA 22 XG
XGA-023 XGA 23 XG
XGA-024 XGA 24 XG
XGA-025 XGA 25 XG
XGA-026 XGA 26 XG
XGA-027 XGA 27 XG
XGA-028 XGA 28 XG
XGA-030 XGA 30 XG
XGA-031 XGA 31 XG
XGA-032 XGA 32 XG
XGA-033 XGA 33 XG
XGA-034 XGA 34 XG
XGA-035 XGA 35 XG
XGA-037 XGA 37 XG
XGA-038 XGA 38 XG
XGA-039 XGA 39 XG
XGA-040 XGA 40 XG
XGA-044 XGA 44 XG
XGA-050 XGA 50 XG
XGA-057 XGA 57 XG
XGA-364 XGA 364 XG
XGA-428 XGA 428 XG
XGB-365 XGB 365 XG
XGB-428 XGB 428 XG
XGC-364 XGC 364 XG
XGC-428 XGC 428 XG
XHA-410 XHA 410 XH
XHB-412 XHB 412 XH
XHB-505 XHB 505 XH
XHC-008 XHC 8 XH
XHC-015 XHC 15 XH
XHC-022 XHC 22 XH
XHC-023 XHC 23 XH
XHC-024 XHC 24 XH
XHC-025 XHC 25 XH
XHC-026 XHC 26 XH
XHC-027 XHC 27 XH
XHC-028 XHC 28 XH
XHC-030 XHC 30 XH
XHC-031 XHC 31 XH
XHC-032 XHC 32 XH
XHC-033 XHC 33 XH
XHC-034 XHC 34 XH
XHC-035 XHC 35 XH
XHC-037 XHC 37 XH
XHC-038 XHC 38 XH
XHC-039 XHC 39 XH
XHC-040 XHC 40 XH
XHC-044 XHC 44 XH
XHC-050 XHC 50 XH
XHC-057 XHC 57 XH
XHC-412 XHC 412 XH
XHC-505 XHC 505 XH
XIA-008 XIA 8 XI
XIA-015 XIA 15 XI
XIA-022 XIA 22 XI
XIA-023 XIA 23 XI
XIA-024 XIA 24 XI
XIA-025 XIA 25 XI
XIA-026 XIA 26 XI
XIA-027 XIA 27 XI
XIA-028 XIA 28 XI
XIA-030 XIA 30 XI
XIA-031 XIA 31 XI
XIA-032 XIA 32 XI
XIA-033 XIA 33 XI
XIA-034 XIA 34 XI
XIA-035 XIA 35 XI
XIA-037 XIA 37 XI
XIA-038 XIA 38 XI
XIA-039 XIA 39 XI
XIA-040 XIA 40 XI
XIA-045 XIA 45 XI
XIA-050 XIA 50 XI
XIA-057 XIA 57 XI
XIC-015 XIC 15 XI
XIC-022 XIC 22 XI
XIC-023 XIC 23 XI
XIC-024 XIC 24 XI
XIC-025 XIC 25 XI
XIC-026 XIC 26 XI
XIC-027 XIC 27 XI
XIC-028 XIC 28 XI
XIC-030 XIC 30 XI
XIC-031 XIC 31 XI
XIC-032 XIC 32 XI
XIC-033 XIC 33 XI
XIC-034 XIC 34 XI
XIC-035 XIC 35 XI
XIC-039 XIC 39 XI
XIC-043 XIC 43 XI
XIC-050 XIC 50 XI
XIC-057 XIC 57 XI
XJA-008 XJA 8 XJ
XJA-015 XJA 15 XJ
XJA-022 XJA 22 XJ
XJA-023 XJA 23 XJ
XJA-024 XJA 24 XJ
XJA-025 XJA 25 XJ
XJA-026 XJA 26 XJ
XJA-027 XJA 27 XJ
XJA-028 XJA 28 XJ
XJA-030 XJA 30 XJ
XJA-031 XJA 31 XJ
XJA-032 XJA 32 XJ
XJA-033 XJA 33 XJ
XJA-034 XJA 34 XJ
XJA-035 XJA 35 XJ
XJA-037 XJA 37 XJ
XJA-038 XJA 38 XJ
XJA-039 XJA 39 XJ
XJA-040 XJA 40 XJ
XJA-043 XJA 43 XJ
XJA-050 XJA 50 XJ
XJA-057 XJA 57 XJ
XKA-008 XKA 8 XK
XKA-015 XKA 15 XK
XKA-022 XKA 22 XK
XKA-023 XKA 23 XK
XKA-024 XKA 24 XK
XKA-025 XKA 25 XK
XKA-026 XKA 26 XK
XKA-028 XKA 28 XK
XKA-030 XKA 30 XK
XKA-031 XKA 31 XK
XKA-032 XKA 32 XK
XKA-033 XKA 33 XK
XKA-034 XKA 34 XK
XKA-035 XKA 35 XK
