sample annotationSample totalSpecies speciesShared numSpeciesShared relAbundanceSpeciesShared hh1 hh2 type
XAC-002 XCA-001 42 FALSE 16 0.30195793193357 XA XC diffHousehold
XAC-002 XCA-001 42 TRUE 26 0.68707358896886 XA XC diffHousehold
XAC-002 XCB-001 42 FALSE 24 0.40815100502722 XA XC diffHousehold
XAC-002 XCB-001 42 TRUE 18 0.58088051587521 XA XC diffHousehold
XAC-002 XDA-001 42 FALSE 18 0.20811024283326 XA XD diffHousehold
XAC-002 XDA-001 42 TRUE 24 0.78092127806917 XA XD diffHousehold
XAC-002 XDB-001 42 FALSE 22 0.25492981853257 XA XD diffHousehold
XAC-002 XDB-001 42 TRUE 20 0.73410170236986 XA XD diffHousehold
XAC-002 XEA-001 42 FALSE 19 0.30372598631793 XA XE diffHousehold
XAC-002 XEA-001 42 TRUE 23 0.6853055345845 XA XE diffHousehold
XAC-002 XEB-001 42 FALSE 19 0.2132948270414 XA XE diffHousehold
XAC-002 XEB-001 42 TRUE 23 0.77573669386103 XA XE diffHousehold
XAC-002 XFA-001 42 FALSE 15 0.19004604327951 XA XF diffHousehold
XAC-002 XFA-001 42 TRUE 27 0.79898547762292 XA XF diffHousehold
XAC-002 XFB-001 42 FALSE 15 0.26770305562795 XA XF diffHousehold
XAC-002 XFB-001 42 TRUE 27 0.72132846527448 XA XF diffHousehold
XAC-002 XGA-001 42 FALSE 17 0.20613256139548 XA XG diffHousehold
XAC-002 XGA-001 42 TRUE 25 0.78289895950695 XA XG diffHousehold
XAC-002 XGB-001 42 FALSE 26 0.36167248082761 XA XG diffHousehold
XAC-002 XGB-001 42 TRUE 16 0.62735904007482 XA XG diffHousehold
XAC-002 XGC-001 42 FALSE 17 0.20002855075575 XA XG diffHousehold
XAC-002 XGC-001 42 TRUE 25 0.78900297014668 XA XG diffHousehold
XAC-002 XHA-003 42 FALSE 22 0.27285283712082 XA XH diffHousehold
XAC-002 XHA-003 42 TRUE 20 0.71617868378161 XA XH diffHousehold
XAC-002 XHB-001 42 FALSE 21 0.30142187830321 XA XH diffHousehold
XAC-002 XHB-001 42 TRUE 21 0.68760964259922 XA XH diffHousehold
XAC-002 XHC-001 42 FALSE 17 0.203806335344 XA XH diffHousehold
XAC-002 XHC-001 42 TRUE 25 0.78522518555843 XA XH diffHousehold
XAC-002 XIA-002 42 FALSE 18 0.20203544231168 XA XI diffHousehold
XAC-002 XIA-002 42 TRUE 24 0.78699607859075 XA XI diffHousehold
XAC-002 XIB-002 42 FALSE 22 0.35167045798099 XA XI diffHousehold
XAC-002 XIB-002 42 TRUE 20 0.63736106292144 XA XI diffHousehold
XAC-002 XIC-008 42 FALSE 17 0.40680171449653 XA XI diffHousehold
XAC-002 XIC-008 42 TRUE 25 0.5822298064059 XA XI diffHousehold
XAC-002 XJA-001 42 FALSE 24 0.55647924247768 XA XJ diffHousehold
XAC-002 XJA-001 42 TRUE 18 0.43255227842475 XA XJ diffHousehold
XAC-002 XJB-001 42 FALSE 29 0.49957074401042 XA XJ diffHousehold
XAC-002 XJB-001 42 TRUE 13 0.48946077689201 XA XJ diffHousehold
XAC-002 XKA-001 42 FALSE 31 0.62271388836416 XA XK diffHousehold
XAC-002 XKA-001 42 TRUE 11 0.36631763253827 XA XK diffHousehold
XAC-002 XKB-001 42 FALSE 23 0.36619551656588 XA XK diffHousehold
XAC-002 XKB-001 42 TRUE 19 0.62283600433655 XA XK diffHousehold
XAC-002 XLA-001 42 FALSE 24 0.38907780780146 XA XL diffHousehold
XAC-002 XLA-001 42 TRUE 18 0.59995371310097 XA XL diffHousehold
XAC-002 XLB-001 42 FALSE 24 0.4048988306032 XA XL diffHousehold
XAC-002 XLB-001 42 TRUE 18 0.58413269029923 XA XL diffHousehold
XAC-002 XMA-001 42 FALSE 18 0.2110547886197 XA XM diffHousehold
XAC-002 XMA-001 42 TRUE 24 0.77797673228273 XA XM diffHousehold
XAC-002 XMB-001 42 FALSE 17 0.2154394856921 XA XM diffHousehold
XAC-002 XMB-001 42 TRUE 25 0.77359203521033 XA XM diffHousehold
XAC-002 XNA-001 42 FALSE 17 0.21119980349894 XA XN diffHousehold
XAC-002 XNA-001 42 TRUE 25 0.77783171740349 XA XN diffHousehold
XAC-002 XNB-001 42 FALSE 24 0.55511944515787 XA XN diffHousehold
XAC-002 XNB-001 42 TRUE 18 0.43391207574456 XA XN diffHousehold
