species bait numPrivateSNPsTotal
Alistipes_finegoldii_56071 XQA-064 701
Alistipes_finegoldii_56071 XQA-133 657
Alistipes_finegoldii_56071 XQA-244 629
Alistipes_finegoldii_56071 XQA-532 578
Alistipes_finegoldii_56071 XQB-348 1061
Alistipes_finegoldii_56071 XQB-531 1062
Alistipes_finegoldii_56071 XQB-647 998
Alistipes_finegoldii_56071 XRB-153 1070
Alistipes_finegoldii_56071 XTB-001 520
Alistipes_finegoldii_56071 XTB-065 537
Alistipes_finegoldii_56071 XUB-001 278
Alistipes_finegoldii_56071 XUB-029 352
Alistipes_finegoldii_56071 XUB-036 393
Alistipes_finegoldii_56071 YAB-001 383
Alistipes_finegoldii_56071 YAB-064 363
Alistipes_finegoldii_56071 YCA-001 609
Alistipes_finegoldii_56071 YCA-064 615
Alistipes_finegoldii_56071 YCB-001 548
Alistipes_finegoldii_56071 YCB-064 634
Alistipes_finegoldii_56071 YDB-006 384
Alistipes_finegoldii_56071 YEB-001 476
Alistipes_finegoldii_56071 YEB-002 431
Alistipes_finegoldii_56071 YFC-064 358
Alistipes_finegoldii_56071 ZAA-002 395
Alistipes_finegoldii_56071 ZAA-326 566
Alistipes_finegoldii_56071 ZAB-002 776
Alistipes_finegoldii_56071 ZAB-064 911
Alistipes_finegoldii_56071 ZAB-256 1078
Alistipes_finegoldii_56071 ZAB-326 1042
Alistipes_finegoldii_56071 ZAB-411 1042
Alistipes_finegoldii_56071 ZCB-001 425
Alistipes_finegoldii_56071 ZCB-261 519
Alistipes_finegoldii_56071 ZDA-001 305
Alistipes_finegoldii_56071 ZDA-065 350
Alistipes_finegoldii_56071 ZDA-260 426
Alistipes_finegoldii_56071 ZDA-324 348
Alistipes_finegoldii_56071 ZDA-413 329
Alistipes_finegoldii_56071 ZDA-598 408
Alistipes_finegoldii_56071 ZDB-001 1101
Alistipes_finegoldii_56071 ZDB-064 1198
Alistipes_finegoldii_56071 ZDB-261 1268
Alistipes_finegoldii_56071 ZDB-324 1180
Alistipes_finegoldii_56071 ZDB-411 1159
Alistipes_finegoldii_56071 ZDB-506 1174
Alistipes_finegoldii_56071 ZDB-596 1264
Alistipes_indistinctus_62207 XCA-029 780
Alistipes_indistinctus_62207 XCA-258 1323
Alistipes_indistinctus_62207 XDA-001 998
Alistipes_indistinctus_62207 XDA-023 1075
Alistipes_indistinctus_62207 XDA-025 1269
Alistipes_indistinctus_62207 XDA-026 1108
Alistipes_indistinctus_62207 XDA-029 1148
Alistipes_indistinctus_62207 XFB-001 726
Alistipes_indistinctus_62207 XIB-259 658
Alistipes_indistinctus_62207 XIB-277 960
Alistipes_indistinctus_62207 XIC-029 980
Alistipes_indistinctus_62207 XIC-036 1017
Alistipes_indistinctus_62207 XIC-064 1337
Alistipes_indistinctus_62207 XLA-029 673
Alistipes_indistinctus_62207 XOB-064 1825
Alistipes_indistinctus_62207 YAC-064 854
Alistipes_indistinctus_62207 YBC-260 809
Alistipes_indistinctus_62207 YDB-006 1427
Alistipes_onderdonkii_55464 XAA-002 427
Alistipes_onderdonkii_55464 XAA-010 480
