sample1 sample2 value method subject timepoint
XCA-001 XCA-805 0.111360096005159 jsd XCA 805
XCB-001 XCB-029 0.0426383344966728 jsd XCB 29
XCB-001 XCB-036 0.0779558796543152 jsd XCB 36
XCB-001 XCB-064 0.0827757216633655 jsd XCB 64
XCB-001 XCB-258 0.133476446005595 jsd XCB 258
XCB-001 XCB-310 0.112827932797985 jsd XCB 310
XCB-001 XCB-410 0.170287826867207 jsd XCB 410
XCB-001 XCB-499 0.0794043962481323 jsd XCB 499
XCB-001 XCB-604 0.173475143406796 jsd XCB 604
XCB-001 XCB-695 0.100357901038168 jsd XCB 695
XCB-001 XCB-804 0.0923767020317286 jsd XCB 804
XDA-001 XDA-008 0.0189707542945211 jsd XDA 8
XDA-001 XDA-015 0.11325571037947 jsd XDA 15
XDA-001 XDA-022 0.0320826173692136 jsd XDA 22
XDA-001 XDA-023 0.0361765587665487 jsd XDA 23
XDA-001 XDA-024 0.0759401432108508 jsd XDA 24
XDA-001 XDA-025 0.0729374300999722 jsd XDA 25
XDA-001 XDA-026 0.0374666511911917 jsd XDA 26
XDA-001 XDA-027 0.0554092882958331 jsd XDA 27
XDA-001 XDA-028 0.044145665122544 jsd XDA 28
XDA-001 XDA-029 0.0179011492524117 jsd XDA 29
XDA-001 XDA-030 0.0701947789950368 jsd XDA 30
XDA-001 XDA-031 0.372329691204323 jsd XDA 31
XDA-001 XDA-032 0.589554008002214 jsd XDA 32
XDA-001 XDA-033 0.532509253314658 jsd XDA 33
XDA-001 XDA-034 0.545801929123986 jsd XDA 34
XDA-001 XDA-035 0.527654838837289 jsd XDA 35
XDA-001 XDA-036 0.562654710870416 jsd XDA 36
XDA-001 XDA-037 0.513116779936382 jsd XDA 37
XDA-001 XDA-038 0.541190643113061 jsd XDA 38
XDA-001 XDA-039 0.529703342174369 jsd XDA 39
XDA-001 XDA-040 0.539101637144867 jsd XDA 40
XDA-001 XDA-044 0.520963918453211 jsd XDA 44
XDA-001 XDA-050 0.53458299370938 jsd XDA 50
XDA-001 XDA-057 0.537309869377533 jsd XDA 57
XDA-001 XDA-064 0.551861110127921 jsd XDA 64
XDA-001 XDA-268 0.489551659651967 jsd XDA 268
XDA-001 XDA-330 0.428312301145834 jsd XDA 330
XDA-001 XDA-417 0.454668475794474 jsd XDA 417
XDA-001 XDA-460 0.426856103374593 jsd XDA 460
XDA-001 XDA-513 0.427166538870611 jsd XDA 513
XDA-001 XDA-556 0.443072643268196 jsd XDA 556
XDA-001 XDA-583 0.48239884128406 jsd XDA 583
XDA-001 XDA-589 0.417240799850343 jsd XDA 589
XDA-001 XDA-706 0.41983994168164 jsd XDA 706
XDA-001 XDA-816 0.441998827310424 jsd XDA 816
XDB-001 XDB-029 0.0533772045017565 jsd XDB 29
XDB-001 XDB-036 0.0682952420874915 jsd XDB 36
XDB-001 XDB-064 0.0603541441761793 jsd XDB 64
XDB-001 XDB-267 0.0805933248420165 jsd XDB 267
XDB-001 XDB-330 0.158124869746885 jsd XDB 330
XDB-001 XDB-417 0.106611599783086 jsd XDB 417
XDB-001 XDB-458 0.0888816961733811 jsd XDB 458
XDB-001 XDB-512 0.0987615397572265 jsd XDB 512
XDB-001 XDB-553 0.114178981498085 jsd XDB 553
XDB-001 XDB-591 0.0668440003568139 jsd XDB 591
XDB-001 XDB-706 0.0711578125713982 jsd XDB 706
XDB-001 XDB-816 0.0982379058659881 jsd XDB 816
XEA-001 XEA-008 0.156863954387534 jsd XEA 8
XEA-001 XEA-016 0.0597787648624377 jsd XEA 16
XEA-001 XEA-023 0.0706621665322271 jsd XEA 23
XEA-001 XEA-024 0.0978329522137135 jsd XEA 24
XEA-001 XEA-025 0.0768883262962791 jsd XEA 25
XEA-001 XEA-026 0.110547206612889 jsd XEA 26
XEA-001 XEA-027 0.0260796827012519 jsd XEA 27
XEA-001 XEA-028 0.139301963095506 jsd XEA 28
XEA-001 XEA-029 0.128430398150929 jsd XEA 29
XEA-001 XEA-030 0.120066552064483 jsd XEA 30
XEA-001 XEA-031 0.310664361124951 jsd XEA 31
XEA-001 XEA-032 0.493629702770459 jsd XEA 32
XEA-001 XEA-033 0.681842361038874 jsd XEA 33
XEA-001 XEA-034 0.606790931107161 jsd XEA 34
XEA-001 XEA-035 0.609024787292468 jsd XEA 35
XEA-001 XEA-036 0.598770890172046 jsd XEA 36
XEA-001 XEA-037 0.533877079302821 jsd XEA 37
XEA-001 XEA-038 0.486725924448508 jsd XEA 38
XEA-001 XEA-039 0.521465169162561 jsd XEA 39
XEA-001 XEA-040 0.481305400662575 jsd XEA 40
XEA-001 XEA-043 0.52783200819758 jsd XEA 43
XEA-001 XEA-050 0.556260861198594 jsd XEA 50
XEA-001 XEA-057 0.475151609125753 jsd XEA 57
XEA-001 XEA-064 0.534838369003391 jsd XEA 64
XEA-001 XEA-302 0.471644669186428 jsd XEA 302
XEA-001 XEA-390 0.399708033070871 jsd XEA 390
XEB-001 XEB-029 0.0663906920689763 jsd XEB 29
XEB-001 XEB-036 0.0522278519257485 jsd XEB 36
XEB-001 XEB-064 0.0930147237700167 jsd XEB 64
XEB-001 XEB-293 0.136925494204599 jsd XEB 293
XEB-001 XEB-389 0.157893342377868 jsd XEB 389
XFA-001 XFA-008 0.0676916811516971 jsd XFA 8
XFA-001 XFA-015 0.0452442496573621 jsd XFA 15
XFA-001 XFA-022 0.0455776290209713 jsd XFA 22
XFA-001 XFA-023 0.0465077113402986 jsd XFA 23
XFA-001 XFA-024 0.0484220390665456 jsd XFA 24
XFA-001 XFA-025 0.0557003705519759 jsd XFA 25
XFA-001 XFA-026 0.0711160014028986 jsd XFA 26
XFA-001 XFA-027 0.0698700221150394 jsd XFA 27
XFA-001 XFA-028 0.0745262433192907 jsd XFA 28
XFA-001 XFA-029 0.0798319020885549 jsd XFA 29
XFA-001 XFA-030 0.110796766961423 jsd XFA 30
XFA-001 XFA-031 0.404140496652906 jsd XFA 31
XFA-001 XFA-033 0.335582896449134 jsd XFA 33
XFA-001 XFA-034 0.297883665734875 jsd XFA 34
XFA-001 XFA-035 0.277968993514181 jsd XFA 35
XFA-001 XFA-036 0.252148902048698 jsd XFA 36
XFA-001 XFA-038 0.195472981203074 jsd XFA 38
XFA-001 XFA-039 0.181358601201488 jsd XFA 39
XFA-001 XFA-040 0.184282013640369 jsd XFA 40
XFA-001 XFA-044 0.179351359223222 jsd XFA 44
XFA-001 XFA-050 0.164704227167555 jsd XFA 50
XFA-001 XFA-057 0.174882785304657 jsd XFA 57
XFA-001 XFA-064 0.156140379062415 jsd XFA 64
XFA-001 XFA-242 0.186698986206218 jsd XFA 242
XFA-001 XFA-312 0.174134383315818 jsd XFA 312
XFB-001 XFB-029 0.0354264461122856 jsd XFB 29
XFB-001 XFB-036 0.055055258493872 jsd XFB 36
XFB-001 XFB-064 0.0436394419916701 jsd XFB 64
XFB-001 XFB-242 0.102674511443386 jsd XFB 242
XFB-001 XFB-313 0.0806509863077641 jsd XFB 313
XGA-001 XGA-008 0.0428351954090249 jsd XGA 8
XGA-001 XGA-015 0.0399945644988481 jsd XGA 15
XGA-001 XGA-022 0.0306095311991876 jsd XGA 22
XGA-001 XGA-023 0.0984847990950536 jsd XGA 23
XGA-001 XGA-024 0.0801991429238383 jsd XGA 24
XGA-001 XGA-025 0.119085809563408 jsd XGA 25
XGA-001 XGA-026 0.102695617760254 jsd XGA 26
XGA-001 XGA-027 0.106894513678022 jsd XGA 27
XGA-001 XGA-028 0.0423416059474321 jsd XGA 28
XGA-001 XGA-029 0.0702746762198311 jsd XGA 29
XGA-001 XGA-030 0.0692208058286324 jsd XGA 30
XGA-001 XGA-031 0.0915460709719212 jsd XGA 31
XGA-001 XGA-032 0.099394371687787 jsd XGA 32
XGA-001 XGA-033 0.322382716682338 jsd XGA 33
XGA-001 XGA-034 0.368469361810941 jsd XGA 34
XGA-001 XGA-035 0.34513941511567 jsd XGA 35
XGA-001 XGA-036 0.257447149720512 jsd XGA 36
XGA-001 XGA-037 0.211425775934624 jsd XGA 37
XGA-001 XGA-038 0.169804485586304 jsd XGA 38
XGA-001 XGA-039 0.160902525698727 jsd XGA 39
XGA-001 XGA-040 0.170398508310405 jsd XGA 40
XGA-001 XGA-044 0.105866780831164 jsd XGA 44
XGA-001 XGA-050 0.104832093146438 jsd XGA 50
XGA-001 XGA-057 0.107635103728344 jsd XGA 57
XGA-001 XGA-064 0.11063433721295 jsd XGA 64
XGA-001 XGA-252 0.0688944081260833 jsd XGA 252
XGA-001 XGA-364 0.0652711794666663 jsd XGA 364
XGA-001 XGA-428 0.0877150446467936 jsd XGA 428
XGB-001 XGB-029 0.0434562299426729 jsd XGB 29
XGB-001 XGB-036 0.0483854945310933 jsd XGB 36
XGB-001 XGB-064 0.0615417195178284 jsd XGB 64
XGB-001 XGB-252 0.0585396075123615 jsd XGB 252
XGB-001 XGB-365 0.0376162669140742 jsd XGB 365
XGB-001 XGB-428 0.0671690355622278 jsd XGB 428
XGC-001 XGC-029 0.094310106673631 jsd XGC 29
XGC-001 XGC-037 0.107278490059485 jsd XGC 37
XGC-001 XGC-064 0.151558181693445 jsd XGC 64
XGC-001 XGC-252 0.0718419183708221 jsd XGC 252
XGC-001 XGC-364 0.105635310995711 jsd XGC 364
XGC-001 XGC-428 0.0833064828059005 jsd XGC 428
XHA-003 XHA-029 0.0788663336750372 jsd XHA 29
XHA-003 XHA-036 0.0460493511742355 jsd XHA 36
XHA-003 XHA-064 0.0892738852483558 jsd XHA 64
XHB-001 XHB-029 0.0578733479968696 jsd XHB 29
XHB-001 XHB-036 0.27130066916483 jsd XHB 36
XHB-001 XHB-064 0.0524223095833621 jsd XHB 64
XHC-001 XHC-008 0.0611406689616666 jsd XHC 8
XHC-001 XHC-015 0.117519338285186 jsd XHC 15
XHC-001 XHC-022 0.122209151492547 jsd XHC 22
XHC-001 XHC-023 0.0987642190587621 jsd XHC 23
XHC-001 XHC-024 0.0545861926772871 jsd XHC 24
XHC-001 XHC-025 0.115275767568615 jsd XHC 25
XHC-001 XHC-027 0.125482997598957 jsd XHC 27
XHC-001 XHC-028 0.122903785235321 jsd XHC 28
XHC-001 XHC-029 0.102737693503098 jsd XHC 29
