species_id subject1 strainSharedAnyTimepoint strainSharedPreAbx strainSharedPostAbx strainSharedMain strainSharedFollowup strainSharedPostAbxFollowup
Anaerostipes_hadrus_55206 XAA FALSE FALSE NA FALSE NA NA
Anaerostipes_hadrus_55206 XAC FALSE FALSE NA FALSE FALSE FALSE
Anaerostipes_hadrus_55206 XAD FALSE FALSE NA FALSE FALSE FALSE
Anaerostipes_hadrus_55206 XBA FALSE FALSE NA FALSE NA NA
Anaerostipes_hadrus_55206 XBB FALSE FALSE NA FALSE NA NA
Anaerostipes_hadrus_55206 XCA FALSE FALSE NA FALSE FALSE FALSE
Anaerostipes_hadrus_55206 XCB FALSE FALSE NA FALSE FALSE FALSE
Anaerostipes_hadrus_55206 XDA TRUE NA FALSE FALSE TRUE TRUE
Anaerostipes_hadrus_55206 XDB TRUE NA FALSE FALSE TRUE TRUE
Anaerostipes_hadrus_55206 XEA FALSE FALSE FALSE FALSE FALSE FALSE
Anaerostipes_hadrus_55206 XEB FALSE FALSE FALSE FALSE FALSE FALSE
Anaerostipes_hadrus_55206 XFA FALSE FALSE FALSE FALSE FALSE FALSE
Anaerostipes_hadrus_55206 XFB FALSE FALSE FALSE FALSE FALSE FALSE
Anaerostipes_hadrus_55206 XGA FALSE NA FALSE FALSE FALSE FALSE
Anaerostipes_hadrus_55206 XGB TRUE NA TRUE TRUE TRUE TRUE
Anaerostipes_hadrus_55206 XGC TRUE NA TRUE TRUE TRUE TRUE
Anaerostipes_hadrus_55206 XHA FALSE FALSE NA FALSE NA NA
Anaerostipes_hadrus_55206 XHB FALSE NA NA FALSE NA NA
Anaerostipes_hadrus_55206 XHC FALSE FALSE NA FALSE NA NA
Anaerostipes_hadrus_55206 XIA TRUE TRUE NA TRUE TRUE TRUE
Anaerostipes_hadrus_55206 XIB TRUE NA NA NA TRUE TRUE
Anaerostipes_hadrus_55206 XIC TRUE TRUE NA TRUE NA NA
Anaerostipes_hadrus_55206 XKA FALSE FALSE FALSE FALSE FALSE FALSE
Anaerostipes_hadrus_55206 XKB FALSE FALSE FALSE FALSE FALSE FALSE
Anaerostipes_hadrus_55206 XLA FALSE FALSE FALSE FALSE FALSE FALSE
Anaerostipes_hadrus_55206 XLB FALSE FALSE FALSE FALSE FALSE FALSE
Anaerostipes_hadrus_55206 XMA TRUE TRUE TRUE TRUE TRUE TRUE
Anaerostipes_hadrus_55206 XMB TRUE TRUE TRUE TRUE TRUE TRUE
Anaerostipes_hadrus_55206 XNA FALSE FALSE FALSE FALSE NA FALSE
Anaerostipes_hadrus_55206 XNB FALSE FALSE FALSE FALSE NA FALSE
Anaerostipes_hadrus_55206 XOA FALSE FALSE FALSE FALSE FALSE FALSE
Anaerostipes_hadrus_55206 XOB FALSE FALSE FALSE FALSE FALSE FALSE
Anaerostipes_hadrus_55206 XPA TRUE FALSE FALSE FALSE FALSE FALSE
Anaerostipes_hadrus_55206 XPB TRUE FALSE FALSE FALSE FALSE FALSE
Anaerostipes_hadrus_55206 XQA FALSE FALSE FALSE FALSE FALSE FALSE
Anaerostipes_hadrus_55206 XQB FALSE FALSE FALSE FALSE FALSE FALSE
Anaerostipes_hadrus_55206 XRA FALSE NA FALSE FALSE FALSE FALSE
Anaerostipes_hadrus_55206 XRB FALSE NA FALSE FALSE FALSE FALSE
Anaerostipes_hadrus_55206 XSA FALSE FALSE FALSE FALSE FALSE FALSE
Anaerostipes_hadrus_55206 XSB FALSE FALSE FALSE FALSE FALSE FALSE
Anaerostipes_hadrus_55206 XTA FALSE FALSE FALSE FALSE NA FALSE
Anaerostipes_hadrus_55206 XTB FALSE FALSE FALSE FALSE NA FALSE
Anaerostipes_hadrus_55206 XUA FALSE FALSE FALSE FALSE FALSE FALSE
Anaerostipes_hadrus_55206 XUB FALSE FALSE FALSE FALSE FALSE FALSE
Anaerostipes_hadrus_55206 XVA TRUE TRUE TRUE TRUE FALSE TRUE
Anaerostipes_hadrus_55206 XVB TRUE TRUE TRUE TRUE FALSE TRUE
Anaerostipes_hadrus_55206 YAB FALSE FALSE NA FALSE NA NA
Anaerostipes_hadrus_55206 YAC FALSE FALSE NA FALSE NA NA
Anaerostipes_hadrus_55206 YBA TRUE TRUE TRUE TRUE TRUE TRUE
Anaerostipes_hadrus_55206 YBB FALSE FALSE FALSE FALSE FALSE FALSE
Anaerostipes_hadrus_55206 YBC TRUE TRUE TRUE TRUE TRUE TRUE
Anaerostipes_hadrus_55206 YEA TRUE TRUE NA TRUE NA NA
Anaerostipes_hadrus_55206 YEB TRUE TRUE NA TRUE NA NA
