species sample1 sample2 subject1 subject2 hh1 hh2 timepoint1 timepoint2 sharedFixedDiffs sharedStrainFishing concordant consensusConservative consensusPermissive consensusFixedDiffs consensusStrainFishing consensusNA keyTimepoint1 keyTimepoint2
Parabacteroides_distasonis_56985 XAA-002 XFB-001 XAA XFB XA XF 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Parabacteroides_merdae_56972 XAA-002 XFB-001 XAA XFB XA XF 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Roseburia_inulinivorans_61943 XAA-002 XFB-001 XAA XFB XA XF 2 1 NA FALSE NA FALSE FALSE FALSE FALSE FALSE initial initial
Alistipes_onderdonkii_55464 XAA-002 XGA-001 XAA XGA XA XG 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Bacteroides_finegoldii_57739 XAA-002 XGA-001 XAA XGA XA XG 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Bacteroides_uniformis_57318 XAA-002 XGA-001 XAA XGA XA XG 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Bacteroides_vulgatus_57955 XAA-002 XGA-001 XAA XGA XA XG 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Bifidobacterium_longum_57796 XAA-002 XGA-001 XAA XGA XA XG 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Blautia_wexlerae_56130 XAA-002 XGA-001 XAA XGA XA XG 2 1 FALSE NA NA FALSE FALSE FALSE FALSE FALSE initial initial
Eubacterium_rectale_56927 XAA-002 XGA-001 XAA XGA XA XG 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Eubacterium_ventriosum_61474 XAA-002 XGA-001 XAA XGA XA XG 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Faecalibacterium_prausnitzii_57453 XAA-002 XGA-001 XAA XGA XA XG 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Parabacteroides_merdae_56972 XAA-002 XGA-001 XAA XGA XA XG 2 1 FALSE TRUE FALSE FALSE TRUE FALSE TRUE NA initial initial
Alistipes_onderdonkii_55464 XAA-002 XGB-001 XAA XGB XA XG 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Bacteroides_caccae_53434 XAA-002 XGB-001 XAA XGB XA XG 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Bacteroides_finegoldii_57739 XAA-002 XGB-001 XAA XGB XA XG 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Bacteroides_uniformis_57318 XAA-002 XGB-001 XAA XGB XA XG 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Bacteroides_vulgatus_57955 XAA-002 XGB-001 XAA XGB XA XG 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Eubacterium_rectale_56927 XAA-002 XGB-001 XAA XGB XA XG 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Faecalibacterium_prausnitzii_57453 XAA-002 XGB-001 XAA XGB XA XG 2 1 NA FALSE NA FALSE FALSE FALSE FALSE FALSE initial initial
Guyana_massiliensis_60772 XAA-002 XGB-001 XAA XGB XA XG 2 1 NA FALSE NA FALSE FALSE FALSE FALSE FALSE initial initial
Parabacteroides_distasonis_56985 XAA-002 XGB-001 XAA XGB XA XG 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Parabacteroides_merdae_56972 XAA-002 XGB-001 XAA XGB XA XG 2 1 FALSE TRUE FALSE FALSE TRUE FALSE TRUE NA initial initial
Alistipes_onderdonkii_55464 XAA-002 XGC-001 XAA XGC XA XG 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Bacteroides_caccae_53434 XAA-002 XGC-001 XAA XGC XA XG 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Bacteroides_finegoldii_57739 XAA-002 XGC-001 XAA XGC XA XG 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Bacteroides_uniformis_57318 XAA-002 XGC-001 XAA XGC XA XG 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Bacteroides_vulgatus_57955 XAA-002 XGC-001 XAA XGC XA XG 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Bifidobacterium_adolescentis_56815 XAA-002 XGC-001 XAA XGC XA XG 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Eubacterium_rectale_56927 XAA-002 XGC-001 XAA XGC XA XG 2 1 NA FALSE NA FALSE FALSE FALSE FALSE FALSE initial initial
Eubacterium_ventriosum_61474 XAA-002 XGC-001 XAA XGC XA XG 2 1 NA FALSE NA FALSE FALSE FALSE FALSE FALSE initial initial
Faecalibacterium_prausnitzii_57453 XAA-002 XGC-001 XAA XGC XA XG 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Faecalibacterium_prausnitzii_62201 XAA-002 XGC-001 XAA XGC XA XG 2 1 NA FALSE NA FALSE FALSE FALSE FALSE FALSE initial initial
Guyana_massiliensis_60772 XAA-002 XGC-001 XAA XGC XA XG 2 1 NA FALSE NA FALSE FALSE FALSE FALSE FALSE initial initial
Parabacteroides_distasonis_56985 XAA-002 XGC-001 XAA XGC XA XG 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Parabacteroides_merdae_56972 XAA-002 XGC-001 XAA XGC XA XG 2 1 FALSE TRUE FALSE FALSE TRUE FALSE TRUE NA initial initial
Alistipes_onderdonkii_55464 XAA-002 XHA-003 XAA XHA XA XH 2 3 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Anaerostipes_hadrus_55206 XAA-002 XHA-003 XAA XHA XA XH 2 3 NA FALSE NA FALSE FALSE FALSE FALSE FALSE initial initial
Bacteroides_caccae_53434 XAA-002 XHA-003 XAA XHA XA XH 2 3 TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE initial initial
Bacteroides_finegoldii_57739 XAA-002 XHA-003 XAA XHA XA XH 2 3 NA TRUE NA TRUE TRUE TRUE TRUE TRUE initial initial
Bacteroides_vulgatus_57955 XAA-002 XHA-003 XAA XHA XA XH 2 3 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
