subject timepoint strain species_id relative_abundance strainFreq strainRelativeAbundance
XBA 374 strain2 Bifidobacterium_longum_57796 0.044828244035 1 0.044828244035
XBA 374 strainUnknown Bifidobacterium_longum_57796 0.044828244035 0 0
XBA 380 strain1 Bifidobacterium_longum_57796 0.0244804023888 0 0
XBA 380 strain2 Bifidobacterium_longum_57796 0.0244804023888 1 0.0244804023888
XBA 380 strainUnknown Bifidobacterium_longum_57796 0.0244804023888 0 0
XBA 388 strain1 Bifidobacterium_longum_57796 0.0269639788833 0 0
XBA 388 strain2 Bifidobacterium_longum_57796 0.0269639788833 1 0.0269639788833
XBA 388 strainUnknown Bifidobacterium_longum_57796 0.0269639788833 0 0
XBA 401 strain1 Bifidobacterium_longum_57796 0.122102915487 0 0
XBA 401 strain2 Bifidobacterium_longum_57796 0.122102915487 1 0.122102915487
XBA 401 strainUnknown Bifidobacterium_longum_57796 0.122102915487 0 0
XBA 408 strain1 Bifidobacterium_longum_57796 0.0512732200327 0 0
XBA 408 strain2 Bifidobacterium_longum_57796 0.0512732200327 1 0.0512732200327
XBA 408 strainUnknown Bifidobacterium_longum_57796 0.0512732200327 0 0
XBA 415 strain1 Bifidobacterium_longum_57796 0.0597383210141 0 0
XBA 415 strain2 Bifidobacterium_longum_57796 0.0597383210141 1 0.0597383210141
XBA 415 strainUnknown Bifidobacterium_longum_57796 0.0597383210141 0 0
XBA 422 strain1 Bifidobacterium_longum_57796 0.031085038932 0 0
XBA 422 strain2 Bifidobacterium_longum_57796 0.031085038932 1 0.031085038932
XBA 422 strainUnknown Bifidobacterium_longum_57796 0.031085038932 0 0
XBA 430 strain1 Bifidobacterium_longum_57796 0.0703119270588 0 0
XBA 430 strain2 Bifidobacterium_longum_57796 0.0703119270588 1 0.0703119270588
XBA 430 strainUnknown Bifidobacterium_longum_57796 0.0703119270588 0 0
XBA 436 strain1 Bifidobacterium_longum_57796 0.0129179491206 0 0
XBA 436 strain2 Bifidobacterium_longum_57796 0.0129179491206 0 0
XBA 436 strainUnknown Bifidobacterium_longum_57796 0.0129179491206 0 0.0129179491206
XBA 442 strain1 Bifidobacterium_longum_57796 0.0194358893284 0 0
XBA 442 strain2 Bifidobacterium_longum_57796 0.0194358893284 1 0.0194358893284
XBA 442 strainUnknown Bifidobacterium_longum_57796 0.0194358893284 0 0
